NAME OF THE COMPANY,,"PAY PACKAGE 
 (Rs. in lakhs p.a.)",BOND,BOND VALUE,NO. PLACED,p_t_id,year,,
KNOLSKAPE,,10,NO,NO,4,2,2016,,
EXL SERVICES, B'LORE,0,NO,NO,0,2,2016,,
REDBUS,,6,NO,NO,3,2,2016,,
ACCOLITE S.W., B'LORE,10.5,NO,NO,0,2,2016,,
VIRTUSA CORPN, CHENNAI,3.3,2 years,NO,9,2,2016,,
PATH PARTNER TECH,,5.5,NO,NO,0,2,2016,,
GALE CREATIVE,,8,NO,NO,0,2,2016,,
3D PLM SOFTWARE, B'LORE,5.1,18 months,1 lakhs,0,2,2016,,
HALF TICK,,6,NO,NO,0,2,2016,,
mSUPPLY,,7.5,NO,NO,4,2,2016,,
TEK SYSTEMS, B'LORE,0,NO,NO,0,2,2016,,
SYMANTEC SOFTWARE, CHENNAI,0,NO,NO,0,2,2016,,
PEPSICO, GURGAON,0,NO,NO,0,2,2016,,
FORD MOTOR,,6,NO,NO,0,2,2016,,
ICT HEALTH TECH, B'LORE,6.6,NO,NO,1,2,2016,,
DELOITTE,HYD,6.2,NO,NO,1,2,2016,,
AFFINE ANALYTICS, B'LORE,6,NO,NO,0,2,2016,,
INCTURE TECH,,5,NO,NO,1,2,2016,,
G E INDIA, B'LORE,9.25,NO,NO,4,2,2016,,
SASKEN COMMUNICATIONS,,8,NO,NO,1,2,2016,,
WALMART LABS, B'LORE,19.27,NO,NO,2,2,2016,,
SAP LAB, B'LORE,8.25,NO,NO,3,2,2016,,
TCS, B'LORE,3.5,2 Years,NO,27,2,2016,,
WELLS FARGO, HYD,0,NO,NO,0,2,2016,,
SAPIENT, B'LORE,4.5,18 Months,NO,0,2,2016,,
ALSTOM,,5,2 Years,2 Lakhs,6,2,2016,,
SRF LTD,,0,NO,NO,0,2,2016,,
FIREEYE,,0,NO,NO,0,2,2016,,
IBM, B'LORE,3.47,NO,NO,4,2,2016,,
SPAN INFOTECH,,0,2 Years,NO,0,2,2016,,
GENERAL MOTORS,,0,NO,NO,0,2,2016,,
ZOSTEL HOSPITALITY,,0,NO,NO,0,2,2016,,
SIEMENS TECH, B'LORE,5.5,NO,NO,0,2,2016,,
TATA MOTORS, MUMBAI,0,NO,NO,0,2,2016,,
AXIS BANK, MUMBAI,7.57,NO,NO,7,2,2016,,
INFORMATICA, B'LORE,10.4,NO,NO,0,2,2016,,
ONE CONVERGENCE, HYD,6.5,NO,NO,3,2,2016,,
L&T CONST., CHENNAI,5.38,NO,NO,8,2,2016,,
UTC, HYD,0,NO,NO,0,2,2016,,
V E COMMERCIAL VEHICLES, CHENNAI,0,NO,NO,0,2,2016,,
ACT PVT LTD, B'LORE,0,NO,NO,0,2,2016,,
BMM ISPAT, BELLARY,0,3 years,NO,0,2,2016,,
09 SOLUTIONS, B'LORE,8,NO,NO,0,2,2016,,
NESTLE INDIA, ,0,NO,NO,0,2,2016,,
INTEL TECHNOLOGY, B'LORE,12,NO,NO,0,2,2016,,
HP R&D, B'LORE,0,NO,NO,0,2,2016,,
IPINFUSION SOFTWARE,B'LORE,0,NO,NO,0,2,2016,,
KULIZA TECH, B'LORE,6.5,NO,NO,1,2,2016,,
AVERY DENNISON, B'LORE,0,NO,NO,0,2,2016,,
SCHNEIDER ELECTRIC, B'LORE,0,2years,NO,0,2,2016,,
BHARAT FORGE, PUNE,0,NO,NO,0,2,2016,,
ESSENTIAL ENERGY,,0,NO,NO,0,2,2016,,
